LOCATION,SUBURB,Reason Code,Audit Date,ADDRESS,lon,lat,type,loctype,address,north,south,east,west
Pyrenees Highway,Amphitheatre,BC,Nov-21,"Pyrenees Highway, Amphitheatre, Australia",143.391882,-37.1852871,route,geometric_center,"pyrenees hwy, amphitheatre vic 3468, australia",-37.13185869999998,-37.19853480000002,143.4431587,143.3162011
Pyrenees Highway,Elmhurst,BC,Nov-21,"Pyrenees Highway, Elmhurst, Australia",143.2606007,-37.184123,route,geometric_center,"pyrenees hwy, elmhurst vic 3469, australia",-37.16630159999997,-37.19853480000002,143.3362498,143.1852186
Pyrenees Highway,Eversley,C,Jul-21,"Pyrenees Highway, Eversley, Australia",143.1752423,-37.1891981,route,geometric_center,"pyrenees hwy, eversley vic 3377, australia",-37.16630159999997,-37.19091540000002,143.2316823,143.1217745
Quarry Road,Langwarrin,ABC,Jan-22,"Quarry Road, Langwarrin, Australia",145.1922813,-38.1374013,route,geometric_center,"quarry rd, langwarrin vic 3910, australia",-38.1275911,-38.1452987,145.2052085,145.1803604
Queen Street,Maffra,B,Jan-22,"Queen Street, Maffra, Australia",146.979616,-37.9673105,route,geometric_center,"queen st, maffra vic 3860, australia",-37.9645687,-37.9702251,146.9844203,146.9749195
Queen Street,Warragul,BCD,Apr-22,"Queen Street, Warragul, Australia",145.9468908,-38.1670585,route,geometric_center,"queen st, warragul vic 3820, australia",-38.16101709999997,-38.17040640000003,145.9683911,145.9246419
Queen Street,Altona,C,Sep-21,"Queen Street, Altona, Australia",144.8121493,-37.8745656,route,geometric_center,"queen st, altona vic 3018, australia",-37.86868659999998,-37.87681200000002,144.8428935,144.7777247
Queens Avenue,Caulfield East,AC,Sep-21,"Queens Avenue, Caulfield East, Australia",145.0439553,-37.8816902,route,geometric_center,"queens ave, caulfield east vic 3145, australia",-37.8772757,-37.8870239,145.0452033,145.0424472
Racecourse Road,Pakenham,BC,Apr-22,"Racecourse Road, Pakenham, Australia",145.4934022,-38.0773485,route,geometric_center,"racecourse rd, pakenham vic 3810, australia",-38.0699087,-38.0843901,145.4949401,145.491477
Radford Road,Reservoir,ABCD,May-22,"Radford Road, Reservoir, Australia",144.9833364,-37.7056221,route,geometric_center,"radford rd, reservoir vic 3073, australia",-37.6980817,-37.7142273,144.9887218,144.9818364
