State,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceTypeID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesSuburb,PremisesStateAb,PremisesPostCode,Latitude,Longitude,StateAb,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,104,Barton,38,1,Brighton-Le-Sands (Barton),Brighton-Le-Sands Public School,35 Crawford Rd,BRIGHTON-LE-SANDS,NSW,2216,-33.9627,151.148,NSW,Brighton-Le-Sands (Barton),32681,BURNEY,Linda,1,Y,Y,ALP,Labor,983,-0.27
NSW,104,Barton,38,1,Brighton-Le-Sands (Barton),Brighton-Le-Sands Public School,35 Crawford Rd,BRIGHTON-LE-SANDS,NSW,2216,-33.9627,151.148,NSW,Brighton-Le-Sands (Barton),33269,SHRESTHA,Pramej,2,N,N,LP,Liberal,911,0.27
NSW,112,Cook,40,1,Carss Park,Blakehurst Public School,cnr Dewrang St & Currawang St,CARSS PARK,NSW,2221,-33.9834,151.116,NSW,Carss Park,33135,MORRISON,Scott,1,Y,Y,LP,Liberal,518,2.58
NSW,112,Cook,40,1,Carss Park,Blakehurst Public School,cnr Dewrang St & Currawang St,CARSS PARK,NSW,2221,-33.9834,151.116,NSW,Carss Park,32745,"O'BRIEN",Simon,3,N,N,ALP,Labor,231,-2.58
NSW,112,Cook,41,1,Sandringham,Sans Souci Community Pre-school,95 Clareville Ave,SANDRINGHAM,NSW,2219,-33.9991,151.139,NSW,Sandringham,33135,MORRISON,Scott,1,Y,Y,LP,Liberal,1373,5.5
NSW,112,Cook,41,1,Sandringham,Sans Souci Community Pre-school,95 Clareville Ave,SANDRINGHAM,NSW,2219,-33.9991,151.139,NSW,Sandringham,32745,"O'BRIEN",Simon,3,N,N,ALP,Labor,697,-5.5
NSW,103,Banks,42,1,Connells Point (Banks),Connells Point Public School,Riverview Ave,CONNELLS POINT,NSW,2221,-33.9855,151.1,NSW,Connells Point (Banks),33334,COLEMAN,David,1,Y,Y,LP,Liberal,1296,4
NSW,103,Banks,42,1,Connells Point (Banks),Connells Point Public School,Riverview Ave,CONNELLS POINT,NSW,2221,-33.9855,151.1,NSW,Connells Point (Banks),32664,GAMBIAN,Chris,3,N,N,ALP,Labor,601,-4
NSW,103,Banks,43,1,Hurstville South,Hurstville South Public School,38-48 Maher St,HURSTVILLE,NSW,2220,-33.9726,151.099,NSW,Hurstville South,33334,COLEMAN,David,1,Y,Y,LP,Liberal,494,4.68
NSW,103,Banks,43,1,Hurstville South,Hurstville South Public School,38-48 Maher St,HURSTVILLE,NSW,2220,-33.9726,151.099,NSW,Hurstville South,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,394,-4.68
